key,class_id,weapon_id,level,scenario,scenario_label,playable,attack_mode,archetype,axis,final_mechanic,playstyle,strengths,weaknesses,stat_delta,solo_dpm,crowd_10_total_dpm,crowd_10_per_target_dpm,hp,defense,dodge,absorb_flat,conditional_shield_capacity,regeneration_per_second,lifesteal_per_second,mitigation,ehp,ttd_seconds,conditional_defense_factor,pickup_radius,move_speed,healing_multiplier,xp_multiplier,money_multiplier,start_gold,ult_start_charge,death_save,solo_delta_abs,solo_delta_pct,crowd_delta_abs,crowd_delta_pct,ehp_delta_abs,ehp_delta_pct,ttd_delta_abs,ttd_delta_pct,atlas_delta,measurement_method,runs,solo_variance_dpm2,crowd_variance_dpm2
"berserk|axe|1|class_atlas59_upper","berserk","axe","1.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{}","5587.32","23898.65","2389.87","76.4","0.1687","0.0648","1.01","0.0","0.12","0.0","0.3019","109.45","6.6","1.0","200.0","313.0","0.979","1.058","1.352","150.0","1.0","true","2845.92","103.81","15819.05","195.79","0.0","0.0","3.06","86.44","pickup_radius +60.00; ttd_seconds +3.06; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|hammer|1|class_atlas59_upper","berserk","hammer","1.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{}","5055.82","16657.73","1665.77","76.4","0.1687","0.0648","1.01","0.0","0.12","0.0","0.3019","109.45","6.6","1.2","200.0","313.0","0.979","1.058","1.352","150.0","1.0","true","2300.62","83.5","8552.93","105.53","0.0","0.0","3.06","86.44","pickup_radius +60.00; ttd_seconds +3.06; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|sword|20|no_meta","berserk","sword","20.0","no_meta","No meta control","true","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{""agility"":11.0,""strength"":8.0}","10331.4","30414.6","3041.46","76.4","0.1687","0.1514","1.01","0.0","0.09","0.0","0.3666","120.62","3.9","1.0","140.0","383.25","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|axe|20|no_meta","berserk","axe","20.0","no_meta","No meta control","true","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{""agility"":11.0,""strength"":8.0}","16013.4","47190.0","4719.0","76.4","0.1687","0.1514","1.01","0.0","0.09","0.0","0.3666","120.62","3.9","1.0","140.0","383.25","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|hammer|20|no_meta","berserk","hammer","20.0","no_meta","No meta control","true","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{""agility"":11.0,""strength"":8.0}","16092.6","47340.0","4734.0","76.4","0.1687","0.1514","1.01","0.0","0.09","0.0","0.3666","120.62","3.9","1.0","140.0","383.25","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|sword|20|class_constellation","berserk","sword","20.0","class_constellation","Full class constellation (schema 6)","true","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{""agility"":11.0,""strength"":8.0}","26585.9","62627.38","6262.74","76.4","0.1687","0.1514","1.01","0.0","0.09","0.0","0.3666","120.62","3.9","1.0","140.0","383.25","0.68","0.8","0.8","0.0","0.0","false","16254.5","157.33","32212.78","105.91","0.0","0.0","0.0","0.0","n/a","deterministic_formula_plus_live_scene_probe","3.0","406546.51","4844797.19"
"berserk|axe|20|class_constellation","berserk","axe","20.0","class_constellation","Full class constellation (schema 6)","true","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{""agility"":11.0,""strength"":8.0}","26425.05","113034.57","11303.46","76.4","0.1687","0.1514","1.01","0.0","0.09","0.0","0.3666","120.62","3.9","1.0","140.0","383.25","0.68","0.8","0.8","0.0","0.0","false","10411.65","65.02","65844.57","139.53","0.0","0.0","0.0","0.0","n/a","deterministic_formula_plus_live_scene_probe","3.0","389688.06","28215750.42"
"berserk|hammer|20|class_constellation","berserk","hammer","20.0","class_constellation","Full class constellation (schema 6)","true","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{""agility"":11.0,""strength"":8.0}","24818.54","81773.86","8177.39","76.4","0.1687","0.1514","1.01","0.0","0.09","0.0","0.3666","120.62","3.9","1.2","140.0","383.25","0.68","0.8","0.8","0.0","0.0","false","8725.94","54.22","34433.86","72.74","0.0","0.0","0.0","0.0","n/a","deterministic_formula_plus_live_scene_probe","3.0","204141.31","12283482.85"
"berserk|sword|20|class_atlas50","berserk","sword","20.0","class_atlas50","Full class + legal Guild Atlas 50","true","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{""agility"":11.0,""strength"":8.0}","26585.9","62627.38","6262.74","76.4","0.1687","0.1514","1.01","0.0","0.12","0.0","0.3666","120.62","7.08","1.0","200.0","383.25","0.979","1.058","1.352","50.0","1.0","true","16254.5","157.33","32212.78","105.91","0.0","0.0","3.18","81.54","pickup_radius +60.00; ttd_seconds +3.18; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|axe|20|class_atlas50","berserk","axe","20.0","class_atlas50","Full class + legal Guild Atlas 50","true","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{""agility"":11.0,""strength"":8.0}","26425.05","113034.57","11303.46","76.4","0.1687","0.1514","1.01","0.0","0.12","0.0","0.3666","120.62","7.08","1.0","200.0","383.25","0.979","1.058","1.352","50.0","1.0","true","10411.65","65.02","65844.57","139.53","0.0","0.0","3.18","81.54","pickup_radius +60.00; ttd_seconds +3.18; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|hammer|20|class_atlas50","berserk","hammer","20.0","class_atlas50","Full class + legal Guild Atlas 50","true","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{""agility"":11.0,""strength"":8.0}","24818.54","81773.86","8177.39","76.4","0.1687","0.1514","1.01","0.0","0.12","0.0","0.3666","120.62","7.08","1.2","200.0","383.25","0.979","1.058","1.352","50.0","1.0","true","8725.94","54.22","34433.86","72.74","0.0","0.0","3.18","81.54","pickup_radius +60.00; ttd_seconds +3.18; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|sword|20|class_atlas59_upper","berserk","sword","20.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{""agility"":11.0,""strength"":8.0}","26585.9","62627.38","6262.74","76.4","0.1687","0.1514","1.01","0.0","0.12","0.0","0.3666","120.62","7.08","1.0","200.0","383.25","0.979","1.058","1.352","150.0","1.0","true","16254.5","157.33","32212.78","105.91","0.0","0.0","3.18","81.54","pickup_radius +60.00; ttd_seconds +3.18; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|axe|20|class_atlas59_upper","berserk","axe","20.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{""agility"":11.0,""strength"":8.0}","26425.05","113034.57","11303.46","76.4","0.1687","0.1514","1.01","0.0","0.12","0.0","0.3666","120.62","7.08","1.0","200.0","383.25","0.979","1.058","1.352","150.0","1.0","true","10411.65","65.02","65844.57","139.53","0.0","0.0","3.18","81.54","pickup_radius +60.00; ttd_seconds +3.18; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|hammer|20|class_atlas59_upper","berserk","hammer","20.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{""agility"":11.0,""strength"":8.0}","24818.54","81773.86","8177.39","76.4","0.1687","0.1514","1.01","0.0","0.12","0.0","0.3666","120.62","7.08","1.2","200.0","383.25","0.979","1.058","1.352","150.0","1.0","true","8725.94","54.22","34433.86","72.74","0.0","0.0","3.18","81.54","pickup_radius +60.00; ttd_seconds +3.18; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_rifle|1|no_meta","soldier","soldier_rifle","1.0","no_meta","No meta control","true","arquebus_shot","projectile","defense","rifle_suppression_mark","rapid explosive shot and suppression","control/defensive utility; rapid explosive shot and suppression","Conditional control/guard value is not converted into permanent shield HP.","{}","2278.2","6788.4","678.84","66.4","0.1538","0.0733","0.87","0.0","0.09","0.0","0.2844","92.79","3.0","1.0","161.0","319.2","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_grenade|1|no_meta","soldier","soldier_grenade","1.0","no_meta","No meta control","true","grenade_fuse","projectile","aoe","grenade_shrapnel_second_wave","slow fuse nuke with falloff","area coverage; slow fuse nuke with falloff","Compact-pack strength does not imply equal boss pressure.","{}","2248.2","6975.0","697.5","66.4","0.1538","0.0733","0.87","0.0","0.09","0.0","0.2844","92.79","3.0","1.0","161.0","319.2","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_bayonet|1|no_meta","soldier","soldier_bayonet","1.0","no_meta","No meta control","true","bayonet_cone","melee","solo","bayonet_brace_countershot","close brace, knockback and conditional rear shot","durable-target pressure; close brace, knockback and conditional rear shot","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","2275.8","6664.8","666.48","66.4","0.1786","0.0733","0.87","0.0","0.09","0.0","0.3053","95.59","3.09","1.0","161.0","319.2","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_rifle|1|class_constellation","soldier","soldier_rifle","1.0","class_constellation","Full class constellation (schema 6)","true","arquebus_shot","projectile","defense","rifle_suppression_mark","rapid explosive shot and suppression","control/defensive utility; rapid explosive shot and suppression","Conditional control/guard value is not converted into permanent shield HP.","{}","5764.15","19236.99","1923.7","66.4","0.1538","0.0733","0.87","0.0","0.09","0.0","0.2844","92.79","3.0","1.2","168.0","319.2","0.68","0.8","0.8","0.0","0.0","false","3485.95","153.01","12448.59","183.38","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_grenade|1|class_constellation","soldier","soldier_grenade","1.0","class_constellation","Full class constellation (schema 6)","true","grenade_fuse","projectile","aoe","grenade_shrapnel_second_wave","slow fuse nuke with falloff","area coverage; slow fuse nuke with falloff","Compact-pack strength does not imply equal boss pressure.","{}","3635.46","16373.14","1637.31","66.4","0.1538","0.0733","0.87","0.0","0.09","0.0","0.2844","92.79","3.0","1.0","168.0","319.2","0.68","0.8","0.8","0.0","0.0","false","1387.26","61.71","9398.14","134.74","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_bayonet|1|class_constellation","soldier","soldier_bayonet","1.0","class_constellation","Full class constellation (schema 6)","true","bayonet_cone","melee","solo","bayonet_brace_countershot","close brace, knockback and conditional rear shot","durable-target pressure; close brace, knockback and conditional rear shot","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","8190.61","19195.01","1919.5","66.4","0.1786","0.0733","0.87","0.0","0.09","0.0","0.3053","95.59","3.09","1.0","168.0","319.2","0.68","0.8","0.8","0.0","0.0","false","5914.81","259.9","12530.21","188.01","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_rifle|1|class_atlas50","soldier","soldier_rifle","1.0","class_atlas50","Full class + legal Guild Atlas 50","true","arquebus_shot","projectile","defense","rifle_suppression_mark","rapid explosive shot and suppression","control/defensive utility; rapid explosive shot and suppression","Conditional control/guard value is not converted into permanent shield HP.","{}","5764.15","19236.99","1923.7","66.4","0.1538","0.0733","0.87","0.0","0.14","0.0","0.2844","92.79","5.91","1.2","228.0","319.2","0.979","1.058","1.352","50.0","1.0","true","3485.95","153.01","12448.59","183.38","0.0","0.0","2.91","97.0","pickup_radius +60.00; ttd_seconds +2.91; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_grenade|1|class_atlas50","soldier","soldier_grenade","1.0","class_atlas50","Full class + legal Guild Atlas 50","true","grenade_fuse","projectile","aoe","grenade_shrapnel_second_wave","slow fuse nuke with falloff","area coverage; slow fuse nuke with falloff","Compact-pack strength does not imply equal boss pressure.","{}","3635.46","16373.14","1637.31","66.4","0.1538","0.0733","0.87","0.0","0.14","0.0","0.2844","92.79","5.91","1.0","228.0","319.2","0.979","1.058","1.352","50.0","1.0","true","1387.26","61.71","9398.14","134.74","0.0","0.0","2.91","97.0","pickup_radius +60.00; ttd_seconds +2.91; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_bayonet|1|class_atlas50","soldier","soldier_bayonet","1.0","class_atlas50","Full class + legal Guild Atlas 50","true","bayonet_cone","melee","solo","bayonet_brace_countershot","close brace, knockback and conditional rear shot","durable-target pressure; close brace, knockback and conditional rear shot","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","8190.61","19195.01","1919.5","66.4","0.1786","0.0733","0.87","0.0","0.14","0.0","0.3053","95.59","6.02","1.0","228.0","319.2","0.979","1.058","1.352","50.0","1.0","true","5914.81","259.9","12530.21","188.01","0.0","0.0","2.93","94.82","pickup_radius +60.00; ttd_seconds +2.93; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_rifle|1|class_atlas59_upper","soldier","soldier_rifle","1.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","arquebus_shot","projectile","defense","rifle_suppression_mark","rapid explosive shot and suppression","control/defensive utility; rapid explosive shot and suppression","Conditional control/guard value is not converted into permanent shield HP.","{}","5764.15","19236.99","1923.7","66.4","0.1538","0.0733","0.87","0.0","0.14","0.0","0.2844","92.79","5.91","1.2","228.0","319.2","0.979","1.058","1.352","150.0","1.0","true","3485.95","153.01","12448.59","183.38","0.0","0.0","2.91","97.0","pickup_radius +60.00; ttd_seconds +2.91; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_grenade|1|class_atlas59_upper","soldier","soldier_grenade","1.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","grenade_fuse","projectile","aoe","grenade_shrapnel_second_wave","slow fuse nuke with falloff","area coverage; slow fuse nuke with falloff","Compact-pack strength does not imply equal boss pressure.","{}","3635.46","16373.14","1637.31","66.4","0.1538","0.0733","0.87","0.0","0.14","0.0","0.2844","92.79","5.91","1.0","228.0","319.2","0.979","1.058","1.352","150.0","1.0","true","1387.26","61.71","9398.14","134.74","0.0","0.0","2.91","97.0","pickup_radius +60.00; ttd_seconds +2.91; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_bayonet|1|class_atlas59_upper","soldier","soldier_bayonet","1.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","bayonet_cone","melee","solo","bayonet_brace_countershot","close brace, knockback and conditional rear shot","durable-target pressure; close brace, knockback and conditional rear shot","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","8190.61","19195.01","1919.5","66.4","0.1786","0.0733","0.87","0.0","0.14","0.0","0.3053","95.59","6.02","1.0","228.0","319.2","0.979","1.058","1.352","150.0","1.0","true","5914.81","259.9","12530.21","188.01","0.0","0.0","2.93","94.82","pickup_radius +60.00; ttd_seconds +2.93; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_rifle|20|no_meta","soldier","soldier_rifle","20.0","no_meta","No meta control","true","arquebus_shot","projectile","defense","rifle_suppression_mark","rapid explosive shot and suppression","control/defensive utility; rapid explosive shot and suppression","Conditional control/guard value is not converted into permanent shield HP.","{""agility"":8.0,""strength"":11.0}","9738.0","29017.2","2901.72","66.4","0.1538","0.1323","0.87","0.0","0.09","0.0","0.33","99.1","3.2","1.0","161.0","366.32","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_grenade|20|no_meta","soldier","soldier_grenade","20.0","no_meta","No meta control","true","grenade_fuse","projectile","aoe","grenade_shrapnel_second_wave","slow fuse nuke with falloff","area coverage; slow fuse nuke with falloff","Compact-pack strength does not imply equal boss pressure.","{""agility"":8.0,""strength"":11.0}","12025.2","37308.0","3730.8","66.4","0.1538","0.1323","0.87","0.0","0.09","0.0","0.33","99.1","3.2","1.0","161.0","366.32","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_bayonet|20|no_meta","soldier","soldier_bayonet","20.0","no_meta","No meta control","true","bayonet_cone","melee","solo","bayonet_brace_countershot","close brace, knockback and conditional rear shot","durable-target pressure; close brace, knockback and conditional rear shot","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{""agility"":8.0,""strength"":11.0}","12174.0","35649.0","3564.9","66.4","0.1786","0.1323","0.87","0.0","0.09","0.0","0.3496","102.09","3.3","1.0","161.0","366.32","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"soldier|soldier_rifle|20|class_constellation","soldier","soldier_rifle","20.0","class_constellation","Full class constellation (schema 6)","true","arquebus_shot","projectile","defense","rifle_suppression_mark","rapid explosive shot and suppression","control/defensive utility; rapid explosive shot and suppression","Conditional control/guard value is not converted into permanent shield HP.","{""agility"":8.0,""strength"":11.0}","16811.68","56107.66","5610.77","66.4","0.1538","0.1323","0.87","0.0","0.09","0.0","0.33","99.1","3.2","1.2","168.0","366.32","0.68","0.8","0.8","0.0","0.0","false","7073.68","72.64","27090.46","93.36","0.0","0.0","0.0","0.0","n/a","deterministic_formula_plus_live_scene_probe","3.0","1352755.09","12591497.4"
